degree,processes,gen_mean,gen_std,serial_mean,serial_std,parallel_mean,parallel_std,parallel_min,parallel_max,speedup,repeats
1000,1,3.06e-05,8.944271909999151e-07,0.000767,0.0,0.0008212,6.534523701081805e-06,0.000813,0.00083,0.9342,5
1000,2,3.14e-05,5.477225575051646e-07,0.0007786,2.2733235581412495e-05,0.0004930000000000001,3.999999999999975e-06,0.000487,0.000498,1.5802,5
1000,4,4.96e-05,3.563425318426078e-05,0.0011822,0.00091167192563992,0.0435772,0.05943684752491505,0.000319,0.120014,1.4334,5
1000,8,3.6e-05,7.071067811865475e-06,0.0007794,1.621110730332756e-05,0.2176142,0.0184521915825736,0.192036,0.232015,0.0034000000000000002,5
10000,1,0.0002996,6.5038450166036526e-06,0.1421058,0.01570679667214165,0.11149400000000001,0.03550510826627628,0.076411,0.148431,1.3729999999999998,5
10000,2,0.0003186,3.842264957027299e-05,0.1290066,0.030018047759639534,0.08796840000000002,0.037520421216985296,0.038963,0.136918,1.5904,5
10000,4,0.00030159999999999996,1.6733200530681482e-06,0.14436120000000002,0.003943968014576185,0.135277,0.010328167189777674,0.124036,0.148027,1.072,5
10000,8,0.0003072,1.6208022704821213e-05,0.21056119999999998,0.03560269083510402,0.308828,0.019265314194167726,0.288023,0.336019,0.6808,5
100000,1,0.002989,7.778174593052013e-05,9.541874499999999,0.021433113644544956,11.0741695,2.322959620389579,9.431589,12.71675,0.881,2
100000,2,0.00307,5.939696961967021e-05,19.099011,0.6544754092492693,9.932823500000001,0.20396565814004097,9.788598,10.077049,1.9235,2
100000,4,0.0029395000000000003,2.1213203435596174e-06,23.3172455,0.0634338422334659,6.8377695,0.43874066584316046,6.527533,7.148006,3.4165,2
100000,8,0.0030334999999999997,8.555992052357226e-05,25.3460655,2.642320155471797,4.330105,0.002808628134873028,4.328119,4.332091,5.8535,2
